Expected,RAG_Predicted,STD_Predicted,RAG_Latency,STD_Latency,RAG_Correct,STD_Correct,Drugs_Retrieved
alzheimers,alzheimer's disease,alzheimer's disease,6.064408699999149,4.820887599999878,0,0,0
alzheimers,alzheimer's disease,alzheimer's disease,2.5865145999996457,4.650187399999595,0,0,0
alzheimers,alzheimer's disease,alzheimer's disease,5.8138875999993616,1.5859346000006553,0,0,0
diabetes,diabetes,diabetes,4.40914309999971,4.686419700000442,1,1,0
diabetes,none,none,28.811800800000128,4.81089669999983,0,0,3
diabetes,leukemia,leukemia,25.024258800000098,1.3808283999997002,0,0,3
heart attack,heart attack,heart attack,27.144648600000437,1.5356292000005851,1,1,3
heart attack,angina,chest pain,18.51217429999997,4.57281520000015,0,0,3
heart attack,heart attack,heart attack,22.995940900000278,1.5373282000000472,1,1,3
asthma,asthma,asthma,23.960505600000033,3.3129883000001428,1,1,3
asthma,asthma,asthma,26.787591799999973,1.427898500000083,1,1,3
asthma,asthma,asthma,17.72768409999935,1.4330854999998337,1,1,3
migraine,migraine,migraine,16.81070920000002,1.4064185000006546,1,1,3
migraine,migraine,migraine,17.005312199999935,1.428380900000775,1,1,3
migraine,headache,headache,21.184363600000324,1.4767259000000195,0,0,3
